Role,Canonical,Permission,DataScope
GENERAL_MANAGER,GM,dashboard.view,company
GENERAL_MANAGER,GM,customers.view,company
GENERAL_MANAGER,GM,customers.transfer,company
GENERAL_MANAGER,GM,customers.deactivate,company
GENERAL_MANAGER,GM,customers.assign,company
GENERAL_MANAGER,GM,products.view,company
GENERAL_MANAGER,GM,products.edit,company
GENERAL_MANAGER,GM,pricing.view,company
GENERAL_MANAGER,GM,pricing.approve,company
GENERAL_MANAGER,GM,sales.view,company
GENERAL_MANAGER,GM,sales.cancel,company
GENERAL_MANAGER,GM,collections.view,company
GENERAL_MANAGER,GM,returns.view,company
GENERAL_MANAGER,GM,returns.approve,company
GENERAL_MANAGER,GM,inventory.view,company
GENERAL_MANAGER,GM,inventory.transfer,company
GENERAL_MANAGER,GM,inventory.count,company
GENERAL_MANAGER,GM,cash.view,company
GENERAL_MANAGER,GM,cash.settle,company
GENERAL_MANAGER,GM,routes.view,company
GENERAL_MANAGER,GM,routes.approve,company
GENERAL_MANAGER,GM,visits.view,company
GENERAL_MANAGER,GM,gps.view,company
GENERAL_MANAGER,GM,targets.view,company
GENERAL_MANAGER,GM,targets.approve,company
GENERAL_MANAGER,GM,credit.view,company
GENERAL_MANAGER,GM,credit.approve,company
GENERAL_MANAGER,GM,discount.approve,company
GENERAL_MANAGER,GM,approvals.view,company
GENERAL_MANAGER,GM,approvals.review,company
GENERAL_MANAGER,GM,profitability.view,company
GENERAL_MANAGER,GM,reports.view,company
GENERAL_MANAGER,GM,reports.export,company
GENERAL_MANAGER,GM,custody.view,company
GENERAL_MANAGER,GM,custody.manage,company
GENERAL_MANAGER,GM,archive.view,company
GENERAL_MANAGER,GM,archive.edit,company
GENERAL_MANAGER,GM,archive.override,company
GENERAL_MANAGER,GM,messages.view,company
GENERAL_MANAGER,GM,leaves.view,company
GENERAL_MANAGER,GM,leaves.approve,company
GENERAL_MANAGER,GM,users.view,company
GENERAL_MANAGER,GM,users.manage,company
GENERAL_MANAGER,GM,roles.manage,company
GENERAL_MANAGER,GM,organization.manage,company
GENERAL_MANAGER,GM,settings.view,company
GENERAL_MANAGER,GM,settings.manage,company
GENERAL_MANAGER,GM,commission.view,company
GENERAL_MANAGER,GM,commission.approve,company
GENERAL_MANAGER,GM,commission.export,company
GENERAL_MANAGER,GM,bonus.view,company
GENERAL_MANAGER,GM,bonus.approve,company
GENERAL_MANAGER,GM,audit.view,company
GENERAL_MANAGER,GM,distributor.view,company
GENERAL_MANAGER,GM,distributor.manage,company
GENERAL_MANAGER,GM,trips.view,company
GENERAL_MANAGER,GM,closing.view,company
GENERAL_MANAGER,GM,sync.view,company
GENERAL_MANAGER,GM,expenses.view,company
GENERAL_MANAGER,GM,loading.view,company
GENERAL_MANAGER,GM,count.view,company
GENERAL_MANAGER,GM,deposit.view,company
GENERAL_MANAGER,GM,targets.org.view,company
SALES_MANAGER,SM,dashboard.view,branch
SALES_MANAGER,SM,customers.view,branch
SALES_MANAGER,SM,customers.create,branch
SALES_MANAGER,SM,customers.edit,branch
SALES_MANAGER,SM,customers.transfer,branch
SALES_MANAGER,SM,customers.deactivate,branch
SALES_MANAGER,SM,customers.assign,branch
SALES_MANAGER,SM,products.view,branch
SALES_MANAGER,SM,products.edit,branch
SALES_MANAGER,SM,pricing.view,branch
SALES_MANAGER,SM,pricing.approve,branch
SALES_MANAGER,SM,sales.view,branch
SALES_MANAGER,SM,sales.cancel,branch
SALES_MANAGER,SM,collections.view,branch
SALES_MANAGER,SM,returns.view,branch
SALES_MANAGER,SM,returns.approve,branch
SALES_MANAGER,SM,inventory.view,branch
SALES_MANAGER,SM,inventory.transfer,branch
SALES_MANAGER,SM,inventory.count,branch
SALES_MANAGER,SM,cash.view,branch
SALES_MANAGER,SM,cash.settle,branch
SALES_MANAGER,SM,routes.view,branch
SALES_MANAGER,SM,routes.create,branch
SALES_MANAGER,SM,routes.approve,branch
SALES_MANAGER,SM,visits.view,branch
SALES_MANAGER,SM,gps.view,branch
SALES_MANAGER,SM,targets.view,branch
SALES_MANAGER,SM,targets.create,branch
SALES_MANAGER,SM,targets.approve,branch
SALES_MANAGER,SM,credit.view,branch
SALES_MANAGER,SM,credit.approve,branch
SALES_MANAGER,SM,discount.approve,branch
SALES_MANAGER,SM,approvals.view,branch
SALES_MANAGER,SM,approvals.review,branch
SALES_MANAGER,SM,profitability.view,branch
SALES_MANAGER,SM,reports.view,branch
SALES_MANAGER,SM,reports.export,branch
SALES_MANAGER,SM,custody.view,branch
SALES_MANAGER,SM,archive.view,branch
SALES_MANAGER,SM,messages.view,branch
SALES_MANAGER,SM,leaves.view,branch
SALES_MANAGER,SM,leaves.approve,branch
SALES_MANAGER,SM,settings.view,branch
SALES_MANAGER,SM,trips.view,branch
SALES_MANAGER,SM,closing.view,branch
SALES_MANAGER,SM,sync.view,branch
SALES_MANAGER,SM,expenses.view,branch
SALES_MANAGER,SM,loading.view,branch
SALES_MANAGER,SM,count.view,branch
SALES_MANAGER,SM,deposit.view,branch
SALES_MANAGER,SM,targets.org.view,branch
SALES_MANAGER,SM,commission.view,branch
SALES_MANAGER,SM,bonus.view,branch
SALES_MANAGER,SM,audit.view,company
SALES_MANAGER,SM,distributor.view,company
SALES_MANAGER,SM,distributor.manage,company
SUPERVISOR,SUP,dashboard.view,team
SUPERVISOR,SUP,customers.view,team
SUPERVISOR,SUP,customers.transfer,team
SUPERVISOR,SUP,customers.deactivate,team
SUPERVISOR,SUP,products.view,team
SUPERVISOR,SUP,pricing.view,team
SUPERVISOR,SUP,sales.view,team
SUPERVISOR,SUP,collections.view,team
SUPERVISOR,SUP,returns.view,team
SUPERVISOR,SUP,returns.approve,team
SUPERVISOR,SUP,inventory.view,team
SUPERVISOR,SUP,inventory.transfer,team
SUPERVISOR,SUP,cash.view,team
SUPERVISOR,SUP,cash.settle,team
SUPERVISOR,SUP,routes.view,team
SUPERVISOR,SUP,routes.create,team
SUPERVISOR,SUP,routes.approve,team
SUPERVISOR,SUP,visits.view,team
SUPERVISOR,SUP,gps.view,team
SUPERVISOR,SUP,targets.view,team
SUPERVISOR,SUP,targets.create,team
SUPERVISOR,SUP,credit.view,team
SUPERVISOR,SUP,approvals.view,team
SUPERVISOR,SUP,approvals.review,team
SUPERVISOR,SUP,reports.view,team
SUPERVISOR,SUP,custody.view,team
SUPERVISOR,SUP,archive.view,team
SUPERVISOR,SUP,messages.view,team
SUPERVISOR,SUP,leaves.view,team
SUPERVISOR,SUP,leaves.approve,team
SUPERVISOR,SUP,supervisor.team,team
SUPERVISOR,SUP,supervisor.planning,team
SUPERVISOR,SUP,supervisor.field,team
SUPERVISOR,SUP,supervisor.customers,team
SUPERVISOR,SUP,supervisor.inventory,team
SUPERVISOR,SUP,supervisor.cash,team
SUPERVISOR,SUP,supervisor.assets,team
SUPERVISOR,SUP,supervisor.comms,team
SUPERVISOR,SUP,supervisor.requests,team
SUPERVISOR,SUP,supervisor.activity,team
REPRESENTATIVE,REP,dashboard.view,self
REPRESENTATIVE,REP,customers.view,self
REPRESENTATIVE,REP,products.view,self
REPRESENTATIVE,REP,pricing.view,self
REPRESENTATIVE,REP,sales.view,self
REPRESENTATIVE,REP,sales.create,self
REPRESENTATIVE,REP,collections.view,self
REPRESENTATIVE,REP,collections.create,self
REPRESENTATIVE,REP,returns.view,self
REPRESENTATIVE,REP,returns.create,self
REPRESENTATIVE,REP,inventory.view,self
REPRESENTATIVE,REP,inventory.request,self
REPRESENTATIVE,REP,cash.view,self
REPRESENTATIVE,REP,routes.view,self
REPRESENTATIVE,REP,visits.view,self
REPRESENTATIVE,REP,visits.create,self
REPRESENTATIVE,REP,gps.view,self
REPRESENTATIVE,REP,targets.view,self
REPRESENTATIVE,REP,messages.view,self
REPRESENTATIVE,REP,reports.view,self
REPRESENTATIVE,REP,leaves.view,self
REPRESENTATIVE,REP,leaves.create,self
REPRESENTATIVE,REP,archive.view,self
REPRESENTATIVE,REP,custody.view,self
REPRESENTATIVE,REP,trips.view,self
REPRESENTATIVE,REP,trips.start,self
REPRESENTATIVE,REP,closing.view,self
REPRESENTATIVE,REP,closing.create,self
REPRESENTATIVE,REP,sync.view,self
REPRESENTATIVE,REP,expenses.view,self
REPRESENTATIVE,REP,expenses.create,self
REPRESENTATIVE,REP,loading.view,self
REPRESENTATIVE,REP,loading.receive,self
REPRESENTATIVE,REP,count.view,self
REPRESENTATIVE,REP,count.create,self
REPRESENTATIVE,REP,deposit.view,self
REPRESENTATIVE,REP,deposit.create,self
REPRESENTATIVE,REP,targets.org.view,self
REPRESENTATIVE,REP,targets.org.create,self
REPRESENTATIVE,REP,commission.view,self
REPRESENTATIVE,REP,bonus.view,self
DISTRIBUTION_OFFICER,DO,customers.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,inventory.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,inventory.transfer,VIOLATION_company
DISTRIBUTION_OFFICER,DO,routes.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,routes.create,VIOLATION_company
DISTRIBUTION_OFFICER,DO,routes.approve,VIOLATION_company
DISTRIBUTION_OFFICER,DO,visits.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,gps.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,targets.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,reports.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,messages.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,approvals.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,profitability.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,distributor.view,VIOLATION_company
DISTRIBUTION_OFFICER,DO,distributor.manage,VIOLATION_company
DISTRIBUTOR,DIST,dashboard.view,VIOLATION_company
DISTRIBUTOR,DIST,distributor.view,VIOLATION_company
DISTRIBUTOR,DIST,sales.view,VIOLATION_company
DISTRIBUTOR,DIST,inventory.view,VIOLATION_company
DISTRIBUTOR,DIST,customers.view,VIOLATION_company
DISTRIBUTOR,DIST,reports.view,VIOLATION_company
DISTRIBUTOR,DIST,messages.view,VIOLATION_company
DISTRIBUTOR,DIST,profitability.view,VIOLATION_company
FINANCE,FIN,customers.view,VIOLATION_company
FINANCE,FIN,sales.view,VIOLATION_company
FINANCE,FIN,sales.cancel,VIOLATION_company
FINANCE,FIN,collections.view,VIOLATION_company
FINANCE,FIN,returns.view,VIOLATION_company
FINANCE,FIN,inventory.view,VIOLATION_company
FINANCE,FIN,cash.view,VIOLATION_company
FINANCE,FIN,cash.settle,VIOLATION_company
FINANCE,FIN,credit.view,VIOLATION_company
FINANCE,FIN,credit.approve,VIOLATION_company
FINANCE,FIN,discount.approve,VIOLATION_company
FINANCE,FIN,approvals.view,VIOLATION_company
FINANCE,FIN,approvals.review,VIOLATION_company
FINANCE,FIN,profitability.view,VIOLATION_company
FINANCE,FIN,reports.view,VIOLATION_company
FINANCE,FIN,commission.view,VIOLATION_company
FINANCE,FIN,commission.approve,VIOLATION_company
FINANCE,FIN,commission.export,VIOLATION_company
FINANCE,FIN,bonus.view,VIOLATION_company
FINANCE,FIN,bonus.approve,VIOLATION_company
FINANCE,FIN,archive.view,VIOLATION_company
FINANCE,FIN,messages.view,VIOLATION_company
FINANCE,FIN,expenses.view,VIOLATION_company
FINANCE,FIN,closing.view,VIOLATION_company
AUDITOR,AUD,audit.view,company(read)
AUDITOR,AUD,customers.view,OVERGRANT
AUDITOR,AUD,sales.view,OVERGRANT
AUDITOR,AUD,collections.view,OVERGRANT
AUDITOR,AUD,returns.view,OVERGRANT
AUDITOR,AUD,inventory.view,OVERGRANT
AUDITOR,AUD,cash.view,OVERGRANT
AUDITOR,AUD,approvals.view,company(read)
AUDITOR,AUD,profitability.view,OVERGRANT
AUDITOR,AUD,reports.view,OVERGRANT
AUDITOR,AUD,archive.view,company(read)
AUDITOR,AUD,custody.view,OVERGRANT
AUDITOR,AUD,routes.view,OVERGRANT
AUDITOR,AUD,visits.view,OVERGRANT
AUDITOR,AUD,gps.view,OVERGRANT
AUDITOR,AUD,targets.view,OVERGRANT
AUDITOR,AUD,credit.view,OVERGRANT
AUDITOR,AUD,messages.view,OVERGRANT
AUDITOR,AUD,users.view,company(read)
HR,HR,customers.view,OVERGRANT
HR,HR,leaves.view,company
